time_s,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10,strain_11,strain_12,strain_13,strain_14,strain_15,strain_16
359900.0,-61.188031443038,67.97736172676528,66.37125650997767,219.57068398105272,69.75473605926267,-25.559739360424143,-14.267901528602707,195.37716830448989,7.125213466792738,-50.32897030224285,55.097240320386454,-7.441813929714071,-7.2399259814787245,-33.068602533467256,-41.968135445006446,-344.4629026492365
359950.0,-61.189604144419,67.98073710352949,66.37473888757562,219.57685991641597,69.7571838452592,-25.559733153262705,-14.266069983608025,195.38075652218615,7.1261358492752205,-50.33043216680809,55.09927559325346,-7.4424783915825445,-7.240659409121055,-33.07136771776275,-41.972515505292435,-344.4711473405584
360000.0,-61.19117014839556,67.98410624557218,66.37821524066744,219.5830120375552,69.75962440178441,-25.559723625327845,-14.264235330720421,195.38432206814846,7.127057961521928,-50.33188863435034,55.10130525939212,-7.443142415250414,-7.241392382061329,-33.074130716260925,-41.97689327689392,-344.4793534861027
360050.0,-61.192729454967264,67.98746915289354,66.38168556925311,219.5891403444703,69.76205772883829,-25.559710776619713,-14.262397569940818,195.38786494237667,7.127979803533126,-50.33333970486991,55.1033293188026,-7.443806000717625,-7.242124900287741,-33.07689152896432,-41.981268759825824,-344.4875210858847
360100.0,-61.194282064134704,67.99082582549343,66.38514987333265,219.5952448371614,69.7644838264208,-25.55969460713813,-14.260556701267816,195.3913851448709,7.128901375308591,-50.3347853783666,55.10534777148465,-7.444469147984209,-7.242856963829408,-33.079650155873786,-41.98564195406899,-344.4956501398756
360100.0,-61.194282064134704,67.99082582549343,66.38514987333265,219.5952448371614,69.7644838264208,-25.55969460713813,-14.260556701267816,195.3913851448709,7.128901375308591,-50.3347853783666,55.10534777148465,-7.444469147984209,-7.242856963829408,-33.079650155873786,-41.98564195406899,-344.4956501398756
363771.4285714286,-61.2899866643393,68.22026455045514,66.62306625656144,219.97841446049088,69.92287351171282,-25.54943298711853,-14.116891742068196,195.58791598982683,7.195832630668026,-50.426191257391935,55.23823896839162,-7.491965680973744,-7.2953688285046825,-33.27623930702833,-42.300505328765496,-344.98722510872494
367442.85714285716,-61.34958049950914,68.41608718449486,66.8284999780188,220.23318361972727,70.0422836580763,-25.521266570559956,-13.956469786270485,195.66220639715672,7.2613068418620745,-50.488497710919326,55.340900059283335,-7.537099543521768,-7.345429051775377,-33.461043193620725,-42.60302869544041,-345.270970730545
371114.28571428574,-61.37306356964502,68.57829372761255,67.00145103770504,220.35955231487065,70.12271426551115,-25.475195357463285,-13.77929083387445,195.6142563668606,7.325324008890714,-50.52170473894854,55.413331044159804,-7.57987073562819,-7.393037633658592,-33.634061815652686,-42.89321205410845,-345.3468870053628
374785.71428571426,-61.36043587474611,68.70688417980824,67.1419194356198,220.357520545921,70.1641653340175,-25.41121934782761,-13.585354884878816,195.44406589893836,7.387884131753801,-50.5258123414799,55.455531923021,-7.620279257293104,-7.43819457414411,-33.79529517312843,-43.17105540474378,-345.214973933153
378457.14285714284,-61.311697414812855,68.80185854108197,67.24990517176322,220.22708831287835,70.16663686359533,-25.329338541653467,-13.374661939285463,195.15163499339013,7.448987210451342,-50.500820518513116,55.467502695866784,-7.658325108516424,-7.48089987322542,-33.944743266042884,-43.43655874736367,-344.8752315139494
382128.5714285714,-61.22684818984544,68.8632168114337,67.32540824613542,219.96825561574252,70.13012885424453,-25.22955293894056,-13.147211997092883,194.73696365021573,7.50863324498365,-50.44672927004842,55.44924336269741,-7.694008289298232,-7.521153530913691,-34.08240609439689,-43.68972208197139,-344.32765974776055
